comments,description,duration,event,film_date,languages,main_speaker,name,num_speaker,published_date,ratings,related_talks,speaker_occupation,tags,title,url,views
4553,Sir Ken Robinson makes an entertaining and profoundly moving case for creating an education system that nurtures (rather than undermines) creativity.,1164,TED2006,1140825600,60,Ken Robinson,Ken Robinson: Do schools kill creativity?,1,1151367060,"[{id: 7, name: Funny, count: 19645}, {id: 1, name: Beautiful, count: 4573}, {id: 9, name: Ingenious, count: 6073}, {id: 3, name: Courageous, count: 3253}, {id: 11, name: Longwinded, count: 387}, {id: 2, name: Confusing, count: 242}, {id: 8, name: Informative, count: 7346}, {id: 22, name: Fascinating, count: 10581}, {id: 21, name: Unconvincing, count: 300}, {id: 24, name: Persuasive, count: 10704}, {id: 23, name: Jaw-dropping, count: 4439}, {id: 25, name: OK, count: 1174}, {id: 26, name: Obnoxious, count: 209}, {id: 10, name: Inspiring, count: 24924}]","[{id: 865, hero: https://pe.tedcdn.com/images/ted/172559_800x600.jpg, speaker: Ken Robinson, title: Bring on the learning revolution!, duration: 1008, slug: sir_ken_robinson_bring_on_the_revolution, viewed_count: 7266103}, {id: 1738, hero: https://pe.tedcdn.com/images/ted/de98b161ad1434910ff4b56c89de71af04b8b873_1600x1200.jpg, speaker: Ken Robinson, title: ""How to escape educations death valley"", duration: 1151, slug: ken_robinson_how_to_escape_education_s_death_valley, viewed_count: 6657572}, {id: 2276, hero: https://pe.tedcdn.com/images/ted/3821f3728e0b755c7b9aea2e69cc093eca41abe1_2880x1620.jpg, speaker: Linda Cliatt-Wayman, title: How to fix a broken school? Lead fearlessly, love hard, duration: 1027, slug: linda_cliatt_wayman_how_to_fix_a_broken_school_lead_fearlessly_love_hard, viewed_count: 1617101}, {id: 892, hero: https://pe.tedcdn.com/images/ted/e79958940573cc610ccb583619a54866c41ef303_2880x1620.jpg, speaker: Charles Leadbeater, title: Education innovation in the slums, duration: 1138, slug: charles_leadbeater_on_education, viewed_count: 772296}, {id: 1232, hero: https://pe.tedcdn.com/images/ted/0e3e4e92d5ee8ae0e43962d447d3f790b31099b8_800x600.jpg, speaker: Geoff Mulgan, title: A short intro to the Studio School, duration: 376, slug: geoff_mulgan_a_short_intro_to_the_studio_school, viewed_count: 667971}, {id: 2616, hero: https://pe.tedcdn.com/images/ted/71cde5a6fa6c717488fb55eff9eef939a9241761_2880x1620.jpg, speaker: Kandice Sumner, title: ""How Americas public schools keep kids in poverty"", duration: 830, slug: kandice_sumner_how_america_s_public_schools_keep_kids_in_poverty, viewed_count: 1181333}]",Author/educator,"[children, creativity, culture, dance, education, parenting, teaching]",Do schools kill creativity?,"https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity
",47227110
265,"With the same humor and humanity he exuded in ""An Inconvenient Truth,"" Al Gore spells out 15 ways that individuals can address climate change immediately, from buying a hybrid to inventing a new, hotter brand name for global warming.",977,TED2006,1140825600,43,Al Gore,Al Gore: Averting the climate crisis,1,1151367060,"[{id: 7, name: Funny, count: 544}, {id: 3, name: Courageous, count: 139}, {id: 2, name: Confusing, count: 62}, {id: 1, name: Beautiful, count: 58}, {id: 21, name: Unconvincing, count: 258}, {id: 11, name: Longwinded, count: 113}, {id: 8, name: Informative, count: 443}, {id: 10, name: Inspiring, count: 413}, {id: 22, name: Fascinating, count: 132}, {id: 9, name: Ingenious, count: 56}, {id: 24, name: Persuasive, count: 268}, {id: 23, name: Jaw-dropping, count: 116}, {id: 26, name: Obnoxious, count: 131}, {id: 25, name: OK, count: 203}]","[{id: 243, hero: https://pe.tedcdn.com/images/ted/566c14767bd62c5ff760e483c5b16cd2753328cd_2880x1620.jpg, speaker: Al Gore, title: New thinking on the climate crisis, duration: 1674, slug: al_gore_s_new_thinking_on_the_climate_crisis, viewed_count: 1751408}, {id: 547, hero: https://pe.tedcdn.com/images/ted/89288_800x600.jpg, speaker: Ray Anderson, title: The business logic of sustainability, duration: 954, slug: ray_anderson_on_the_business_logic_of_sustainability, viewed_count: 881833}, {id: 2093, hero: https://pe.tedcdn.com/images/ted/146d88845861cbf768bbf8bec8b2e41f8bfc7903_2400x1800.jpg, speaker: Lord Nicholas Stern, title: The state of the climate — and what we might do about it, duration: 993, slug: lord_nicholas_stern_the_state_of_the_climate_and_what_we_might_do_about_it, viewed_count: 773779}, {id: 2784, hero: https://pe.tedcdn.com/images/ted/e835e670a7836cf65aca2a7a644fd94398cb4b8e_2880x1620.jpg, speaker: Ted Halstead, title: A climate solution where all sides can win, duration: 787, slug: ted_halstead_a_climate_solution_where_all_sides_can_win, viewed_count: 1021315}, {id: 2339, hero: https://pe.tedcdn.com/images/ted/f6879e1c78d4a069735bf745ecfede71ccf4a352_2880x1620.jpg, speaker: Alice Bows-Larkin, title: ""Climate change is happening. Heres how we adapt"", duration: 863, slug: alice_bows_larkin_we_re_too_late_to_prevent_climate_change_here_s_how_we_adapt, viewed_count: 1157975}, {id: 2331, hero: https://pe.tedcdn.com/images/ted/64bbcc24af870d9b4e1768abe88e1fe041b02a6a_2880x1620.jpg, speaker: Mary Robinson, title: Why climate change is a threat to human rights, duration: 1307, slug: mary_robinson_why_climate_change_is_a_threat_to_human_rights, viewed_count: 1126293}]",Climate advocate,"[alternative energy, cars, climate change, culture, environment, global issues, science, sustainability, technology]",Averting the climate crisis,"https://www.ted.com/talks/al_gore_on_averting_climate_crisis
",3200520
124,"New York Times columnist David Pogue takes aim at technology’s worst interface-design offenders, and provides encouraging examples of products that get it right. To funny things up, he bursts into song.",1286,TED2006,1140739200,26,David Pogue,David Pogue: Simplicity sells,1,1151367060,"[{id: 7, name: Funny, count: 964}, {id: 3, name: Courageous, count: 45}, {id: 9, name: Ingenious, count: 183}, {id: 1, name: Beautiful, count: 60}, {id: 21, name: Unconvincing, count: 104}, {id: 11, name: Longwinded, count: 78}, {id: 8, name: Informative, count: 395}, {id: 10, name: Inspiring, count: 230}, {id: 22, name: Fascinating, count: 166}, {id: 2, name: Confusing, count: 27}, {id: 25, name: OK, count: 146}, {id: 24, name: Persuasive, count: 230}, {id: 23, name: Jaw-dropping, count: 54}, {id: 26, name: Obnoxious, count: 142}]","[{id: 1725, hero: https://pe.tedcdn.com/images/ted/b7f415a054cc0a2bfdd90d0ad5a7f64cf060150d_1600x1200.jpg, speaker: David Pogue, title: 10 top time-saving tech tips, duration: 344, slug: david_pogue_10_top_time_saving_tech_tips, viewed_count: 4843421}, {id: 2274, hero: https://pe.tedcdn.com/images/ted/608e677e4392bcdcf82b068fa221b9df74a213ef_2880x1620.jpg, speaker: Tony Fadell, title: The first secret of design is ... noticing, duration: 1001, slug: tony_fadell_the_first_secret_of_design_is_noticing, viewed_count: 2005916}, {id: 172, hero: https://pe.tedcdn.com/images/ted/b790be2f87ceffba73fe73837944400c7d61cba2_1600x1200.jpg, speaker: John Maeda, title: Designing for simplicity, duration: 959, slug: john_maeda_on_the_simple_life, viewed_count: 1215942}, {id: 2664, hero: https://pe.tedcdn.com/images/ted/092f184f6625c2aeef10949c8d7b2aa14ba4132b_2880x1620.jpg, speaker: Dan Bricklin, title: Meet the inventor of the electronic spreadsheet, duration: 720, slug: dan_bricklin_meet_the_inventor_of_the_electronic_spreadsheet, viewed_count: 992322}, {id: 436, hero: https://pe.tedcdn.com/images/ted/66438_800x600.jpg, speaker: David Carson, title: Design and discovery, duration: 1359, slug: david_carson_on_design, viewed_count: 774485}, {id: 1546, hero: https://pe.tedcdn.com/images/ted/39d58abd56cf9edd6936f4f42119a15e65692dc1_1600x1200.jpg, speaker: Clay Shirky, title: How the Internet will (one day) transform government, duration: 1112, slug: clay_shirky_how_the_internet_will_one_day_transform_government, viewed_count: 1245084}]",Technology columnist,"[computers, entertainment, interface design, media, music, performance, simplicity, software, technology]",Simplicity sells,"https://www.ted.com/talks/david_pogue_says_simplicity_sells
",1636292
200,"In an emotionally charged talk, MacArthur-winning activist Majora Carter details her fight for environmental justice in the South Bronx -- and shows how minority neighborhoods suffer most from flawed urban policy.",1116,TED2006,1140912000,35,Majora Carter,Majora Carter: Greening the ghetto,1,1151367060,"[{id: 3, name: Courageous, count: 760}, {id: 1, name: Beautiful, count: 291}, {id: 2, name: Confusing, count: 32}, {id: 7, name: Funny, count: 59}, {id: 9, name: Ingenious, count: 105}, {id: 21, name: Unconvincing, count: 36}, {id: 11, name: Longwinded, count: 53}, {id: 8, name: Informative, count: 380}, {id: 10, name: Inspiring, count: 1070}, {id: 22, name: Fascinating, count: 132}, {id: 24, name: Persuasive, count: 460}, {id: 23, name: Jaw-dropping, count: 230}, {id: 26, name: Obnoxious, count: 35}, {id: 25, name: OK, count: 85}]","[{id: 1041, hero: https://pe.tedcdn.com/images/ted/96c703bb13a2e9c2d351a5e6b52390bc35eaad06_800x600.jpg, speaker: Majora Carter, title: 3 stories of local eco-entrepreneurship, duration: 1079, slug: majora_carter_3_stories_of_local_ecoactivism, viewed_count: 702642}, {id: 1892, hero: https://pe.tedcdn.com/images/ted/f5ebbf91eb093a2da2cfe1941724a3e55d222713_1600x1200.jpg, speaker: Toni Griffin, title: A new vision for rebuilding Detroit, duration: 708, slug: toni_griffin_a_new_vision_for_rebuilding_detroit, viewed_count: 826727}, {id: 2078, hero: https://pe.tedcdn.com/images/ted/92ddb109a1f98a3745fe1b2b0d2c5519ab3931dc_2400x1800.jpg, speaker: Dan Barasch, title: A park underneath the hustle and bustle of New York City, duration: 377, slug: dan_barasch_a_park_underneath_the_hustle_and_bustle_of_new_york_city, viewed_count: 862197}, {id: 2873, hero: https://pe.tedcdn.com/images/ted/635f76d5d4d0a454b6131b93b471d1f65065f14d_2880x1620.jpg, speaker: OluTimehin Adegbeye, title: Who belongs in a city?, duration: 723, slug: olutimehin_adegbeye_who_belongs_in_a_city, viewed_count: 686614}, {id: 2840, hero: https://pe.tedcdn.com/images/ted/e14c457790cbe44629c9afaf8867a3558d0cf121_2880x1620.jpg, speaker: Richard J. Berry, title: A practical way to help the homeless find work and safety, duration: 741, slug: richard_j_berry_a_practical_way_to_help_the_homeless_find_work_and_safety, viewed_count: 746572}, {id: 2839, hero: https://pe.tedcdn.com/images/ted/7651fdc16fac4fe5a41e91a65ee168af109e227e_2880x1620.jpg, speaker: Peter Calthorpe, title: 7 principles for building better cities, duration: 860, slug: peter_calthorpe_7_principles_for_building_better_cities, viewed_count: 832386}]",Activist for environmental justice,"[MacArthur grant, activism, business, cities, environment, green, inequality, politics, pollution]",Greening the ghetto,"https://www.ted.com/talks/majora_carter_s_tale_of_urban_renewal
",1697550
593,"Youve never seen data presented like this. With the drama and urgency of a sportscaster, statistics guru Hans Rosling debunks myths about the so-called ""developing world.""",1190,TED2006,1140566400,48,Hans Rosling,Hans Rosling: The best stats youve ever seen,1,1151440680,"[{id: 9, name: Ingenious, count: 3202}, {id: 7, name: Funny, count: 1390}, {id: 1, name: Beautiful, count: 942}, {id: 3, name: Courageous, count: 318}, {id: 11, name: Longwinded, count: 110}, {id: 2, name: Confusing, count: 72}, {id: 21, name: Unconvincing, count: 67}, {id: 8, name: Informative, count: 5433}, {id: 10, name: Inspiring, count: 2893}, {id: 22, name: Fascinating, count: 4606}, {id: 23, name: Jaw-dropping, count: 3736}, {id: 24, name: Persuasive, count: 2542}, {id: 25, name: OK, count: 248}, {id: 26, name: Obnoxious, count: 61}]","[{id: 2056, hero: https://pe.tedcdn.com/images/ted/afc9b259845ec1b543419871e10753d4d9044fda_2400x1800.jpg, speaker: Talithia Williams, title: ""Own your bodys data"", duration: 1023, slug: talithia_williams_own_your_body_s_data, viewed_count: 1345319}, {id: 2296, hero: https://pe.tedcdn.com/images/ted/9e003b0a822daba702608136e73f7be001b6b2f2_2880x1620.jpg, speaker: Manuel Lima, title: A visual history of human knowledge, duration: 769, slug: manuel_lima_a_visual_history_of_human_knowledge, viewed_count: 1710818}, {id: 620, hero: https://pe.tedcdn.com/images/ted/111517_800x600.jpg, speaker: Hans Rosling, title: Let my dataset change your mindset, duration: 1196, slug: hans_rosling_at_state, viewed_count: 1471015}, {id: 974, hero: https://pe.tedcdn.com/images/ted/205077_800x600.jpg, speaker: Hans Rosling, title: ""The good news of the decade? Were winning the war against child mortality"", duration: 934, slug: hans_rosling_the_good_news_of_the_decade, viewed_count: 738885}, {id: 140, hero: https://pe.tedcdn.com/images/ted/bf09302366bde885c86350145b87cd2b265f1f12_1600x1200.jpg, speaker: Hans Rosling, title: New insights on poverty, duration: 1137, slug: hans_rosling_reveals_new_insights_on_poverty, viewed_count: 3243775}, {id: 912, hero: https://pe.tedcdn.com/images/ted/b26e09ddd0ffeb774cd3eee2a24424c4ed542677_2880x1620.jpg, speaker: Hans Rosling, title: Global population growth, box by box, duration: 604, slug: hans_rosling_on_global_population_growth, viewed_count: 2934214}]",Global health expert; data visionary,"[Africa, Asia, Google, demo, economics, global development, global issues, health, math, statistics, visualizations]",The best stats youve ever seen,"https://www.ted.com/talks/hans_rosling_shows_the_best_stats_you_ve_ever_seen
",12005869
672,"Tony Robbins discusses the ""invisible forces"" that motivate everyones actions -- and high-fives Al Gore in the front row.",1305,TED2006,1138838400,36,Tony Robbins,Tony Robbins: Why we do what we do,1,1151440680,"[{id: 7, name: Funny, count: 1102}, {id: 3, name: Courageous, count: 721}, {id: 21, name: Unconvincing, count: 377}, {id: 2, name: Confusing, count: 301}, {id: 1, name: Beautiful, count: 706}, {id: 9, name: Ingenious, count: 397}, {id: 11, name: Longwinded, count: 285}, {id: 8, name: Informative, count: 1038}, {id: 10, name: Inspiring, count: 5211}, {id: 22, name: Fascinating, count: 1350}, {id: 24, name: Persuasive, count: 2423}, {id: 25, name: OK, count: 441}, {id: 23, name: Jaw-dropping, count: 669}, {id: 26, name: Obnoxious, count: 335}]","[{id: 229, hero: https://pe.tedcdn.com/images/ted/eefe30d20338d800bdc70a09dc0f6007e7355a74_2880x1620.jpg, speaker: Jill Bolte Taylor, title: My stroke of insight, duration: 1099, slug: jill_bolte_taylor_s_powerful_stroke_of_insight, viewed_count: 21190809}, {id: 70, hero: https://pe.tedcdn.com/images/ted/6c8c4b562ae7b0a7f5b140e2db1f7588861a6565_1600x1200.jpg, speaker: Richard St. John, title: 8 secrets of success, duration: 210, slug: richard_st_john_s_8_secrets_of_success, viewed_count: 10841194}, {id: 97, hero: https://pe.tedcdn.com/images/ted/016a827cc0757092a0439ab2a63feca8655b6c29_1600x1200.jpg, speaker: Dan Gilbert, title: The surprising science of happiness, duration: 1276, slug: dan_gilbert_asks_why_are_we_happy, viewed_count: 14689293}, {id: 1094, hero: https://pe.tedcdn.com/images/ted/78e8d94d1d2a81cd182e0626dc8e96a43c88d760_800x600.jpg, speaker: David Brooks, title: The social animal, duration: 1124, slug: david_brooks_the_social_animal, viewed_count: 1132745}, {id: 2861, hero: https://pe.tedcdn.com/images/ted/040ce6ae0f5e8d306d395b03be10fffb459f69ae_2880x1620.jpg, speaker: Emily Esfahani Smith, title: ""Theres more to life than being happy"", duration: 738, slug: emily_esfahani_smith_there_s_more_to_life_than_being_happy, viewed_count: 997630}, {id: 2279, hero: https://pe.tedcdn.com/images/ted/7942398dd4f5b61691f12872b6e787cf53dec95f_2880x1620.jpg, speaker: Rana el Kaliouby, title: This app knows how you feel -- from the look on your face, duration: 664, slug: rana_el_kaliouby_this_app_knows_how_you_feel_from_the_look_on_your_face, viewed_count: 1407619}]",Life coach; expert in leadership psychology,"[business, culture, entertainment, goal-setting, motivation, potential, psychology]",Why we do what we do,"https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
",20685401
